;urls
223;https://www.tokopedia.com/grosirsusuln/chekhup-kokoo-hazelnut?whid=0
224;https://www.tokopedia.com/rizkypizzahome/mochi-roll-kue-mochi-orijinal-mochi-wijen-mochi-gulung-kue-oleh-oleh?whid=0
225;https://www.tokopedia.com/multifood/dark-cocoa-nestle-alegria-bubuk-coklat-nestle?whid=0
226;https://www.tokopedia.com/littleangels/swiss-miss-chocolatte-drink-marshmallow?whid=0
227;https://www.tokopedia.com/maymonstore/beng-beng-drink-1-renceng-10-sachet?whid=0
228;https://www.tokopedia.com/sinarterangregen/delfi-hot-cocoa-indulgence-minuman-coklat-bubuk-3in1-instant-drink?whid=0
229;https://www.tokopedia.com/cs-food/cs-food-choco-malt-drink-175g?src=topads
230;https://www.tokopedia.com/shui-mart/cadburry-cadbury-minuman-coklat-3-in-1-hot-chocolate-drink-3in1?src=topads
231;https://www.tokopedia.com/ot-store/don-pedro-tango-drink-250ml-bundle-4-pcs?src=topads
232;https://www.tokopedia.com/gazafiesca/restock-juta-juice-sweet-mango-100ml-authentic-100-nic3mg?whid=0
233;https://www.tokopedia.com/rent-apartemen/lemovita-jus-lemon-murni-100-250ml-jus-diet-langsing?src=topads
234;https://www.tokopedia.com/p34shop/100-ekstrak-sari-lemon-murni-500ml-tanpa-pengawet-diet-langsing-usaha?src=topads
235;https://www.tokopedia.com/lemonevaofficial/lemoneva-sari-lemon-original-solusi-diet-100-pure-lemon?src=topads
236;https://www.tokopedia.com/sesaofficial/sesa-beverages-berries-protein-shake-smoothies?whid=0
237;https://www.tokopedia.com/sejahterabadi/ready-lemovita-sari-lemon-murni-250ml?whid=0
238;https://www.tokopedia.com/gazafiesca/lcl-juice-100ml-authentic-100-tiramisucofemil?whid=0
239;https://www.tokopedia.com/deandrefruit/promo-murah-jus-celery-stick-import-1-liter-juice-seledri-stik?whid=0
240;https://www.tokopedia.com/fat-grandma/jus-kedondong-kiamboy?whid=0
